runnr	MC energy	MC zenith	MC azimuth	MC Xmax	MC core x	MC core y	MC core z	Sd rec success	Sd energy	SD zenith	SD azimuth	SD core x	SD core y	SD core z	Rd rec success	Stations with Pulse	Rd zenith	Rd azimuth	Rd core x	Rd core y	Rd core z	rad energy	rad energy error	lorentz angle	2dLDF sigma	2dLDF sigma error	2dLDF Chi2	2dLDf NDF	Rd energy	SE_RdLDF1	SE_RdLDF2	EE_RdLDF1	EE_RdLDF1error	EE_RdLDF2	EE_RdLDF2error	EE_RdLDF3	EE_RdLDF3error	OnedLDFChi2	EE_RdLDFNDF	pvalue1dLDF	GeoCe DXmax	GeoCeXmax	GeoCe DXmax Error	GeoCe Erad	GeoCe Erad Error	GeoCe LDFChi2	GeoCe LDF ndf	pvalue GeoCe	Md rec success	N_mu_ref	N_mu_ref error	MLDF Chi2	MLDF NDF	MLDF Likelihood	M beta	M beta error	M beta syst
102790	3.57857e+17	12.8472	237.535	685.848	450725	6.11459e+06	1467.19	1	2.35033e+17	12.3165	236.038	450756	6.1146e+06	1399.99	1	5	13.3596	235.52	-26514.4	15463.5	-6.65393	679801	65512.2	65.459	99.8572	2.33896	12.9259	1	2.2493e+17	8.10346e-05	0.0203573	9.88272e-05	2.14303e-06	2.57226e-05	0	-0.0193386	0.000228634	59.6662	3	6.92704e-13	219.986	656.841	6.39465	837313	42956.7	0.399749	1	0.527219	1	0.398117	0.0483199	9.93598	12	4.98196	1.77644	0	0
102792	3.3404e+17	39.6072	160.391	751.334	448968	6.1144e+06	1479.52	1	3.28364e+17	40.1919	159.929	449012	6.11438e+06	1399.97	1	3	39.3775	161.007	-28326.5	15303	98.8886	477087	244279	52.8912	103.77	16.1782	0.266859	1	2.15352e+17	0.000131319	0.00787746	0.000132183	1.38048e-05	1.89896e-05	0	-0.00870614	0.0028911	0.0722289	1	0.788119	407.412	702.194	11.3177	533443	87742.6	0.350164	1	0.554021	1	0.396123	0.0572554	18.3645	17	10.3224	0.668893	0.453536	0
102796	5.43761e+17	46.2896	281.53	767.617	450457	6.11438e+06	1462.65	1	4.22919e+17	46.5568	280.942	450424	6.11443e+06	1399.97	1	6	46.2156	282.124	-26774	15243.6	-11.7462	2.79714e+06	765062	80.9368	137.753	11.4172	1.44679	2	4.22282e+17	0.00025368	0.00844346	0.000261954	1.54614e-05	1.6261e-05	0	-0.00751199	0.00107306	24.048	4	7.81241e-05	428.227	808.908	5.57734	2.72506e+06	284520	0.694146	2	0.706754	1	0.587538	0.0709618	14.9482	21	9.67201	1.03733	0.255537	0
102799	2.98892e+17	9.58338	283.972	696.846	450803	6.1147e+06	1465.79	1	2.19726e+17	9.50038	286.109	450810	6.11468e+06	1399.98	1	7	9.20305	279.576	-26424.2	15565.2	-7.92864	323244	45854.7	62.9329	121.466	1.97251	36.6762	3	1.57279e+17	4.45883e-05	0.0204224	5.02776e-05	1.06301e-06	2.62003e-05	0	-0.0177579	0.000197929	93.57	5	1.19374e-18	181.541	685.435	3.40314	553151	50432.3	8.83502	3	0.0315667	1	0.321122	0.0392612	11.3511	12	6.73724	1.78609	0	0
102801	1.9911e+17	38.5128	250.679	697.476	450932	6.11411e+06	1460.73	1	1.33345e+17	39.1049	250.622	450902	6.11414e+06	1399.99	1	7	39.6263	251.27	-26330.3	14962.4	-11.1536	353607	71382.4	87.6961	136.968	5.45414	2.19198	3	1.46689e+17	6.30596e-05	0.0153247	8.83702e-05	4.51855e-06	1.88966e-05	0	-0.0114332	0.000198594	42.6218	5	4.40818e-08	516.094	576.444	4.3142	240874	28722.1	10.3739	3	0.015641	1	0.27851	0.0564415	12.3413	11	8.97493	0.806225	0.772954	0
102803	1.72973e+18	49.7329	250.646	706.956	451638	6.11429e+06	1454.22	1	1.19299e+18	49.3815	250.581	451644	6.11433e+06	1399.95	1	23	50.236	250.651	-25596.1	15155.8	-15.1368	1.93652e+07	1.9658e+06	77.4913	181.186	1.56912	46.9011	19	1.13234e+18	0.00100552	0.0126774	0.000823251	3.39727e-05	1.44992e-05	0	-0.00759577	0.000155258	432.63	21	1.59928e-78	650.314	672.305	9.73173	2.01007e+07	1.59486e+06	69.0138	19	1.34057e-07	1	1.88239	0.110689	56.2302	47	33.6726	0.976196	0.115724	0
102805	2.4131e+17	42.6576	21.256	677.944	450695	6.11505e+06	1466.26	1	1.26018e+17	42.5681	23.073	450660	6.11508e+06	1399.98	1	8	41.8025	22.7848	-26609.3	15994.8	-9.29244	165523	60006.4	48.1925	169.451	8.06961	30.1308	4	1.32076e+17	3.11002e-05	0.0122993	2.42379e-05	2.23613e-06	1.80625e-05	0	-0.00649623	0.000359072	129.135	6	1.95465e-25	645.029	517.411	13.0869	336473	71496.8	33.2449	4	1.06421e-06	1	0.316799	0.0379525	8.6948	9	4.45827	1.44218	0	0
102812	1.76792e+17	34.1329	317.077	679.953	450908	6.1141e+06	1460.6	1	1.82192e+17	34.2314	316.866	450920	6.11414e+06	1399.97	1	3	34.3467	318.932	-26270.1	14928.2	89.7506	190879	69168	78.4382	85.3553	10.8922	0.0760472	1	1.09477e+17	7.52416e-05	0.00983518	7.15929e-05	1.13737e-05	2.07627e-05	0	-0.0123969	0.00213892	0.231022	1	0.630767	322.782	710.005	44.079	209528	32401.4	0.148062	1	0.700395	1	0.331399	0.0537166	9.71951	13	8.92126	0.000242873	3.75459	0
102815	1.24572e+18	37.3252	196.868	771.737	450466	6.11513e+06	1469.74	1	9.75121e+17	37.4332	196.926	450505	6.11515e+06	1399.97	1	4	37.3621	196.592	-26827.4	15952.5	93.8728	1.01199e+07	2.30672e+06	71.9263	108.098	4.61736	1.65986	2	8.39142e+17	0.000420355	0.0128322	0.000467919	2.65204e-05	1.97248e-05	0	-0.0129974	0.000788157	9.55608	2	0.00841248	299.64	775.397	22.8226	1.22642e+07	1.82704e+06	0.53428	2	0.765566	1	1.52813	0.115161	80.0266	32	24.5258	1.30158	0.115997	0
102817	2.14696e+17	40.8192	298.631	721.431	450585	6.11482e+06	1463.31	1	1.87099e+17	40.4247	299.84	450537	6.11486e+06	1399.98	1	7	40.2971	297.36	-26702	15697.4	-11.8888	422210	99869.9	89.6989	170.683	3.4976	8.88036	3	1.60403e+17	5.99212e-05	0.0153839	4.74652e-05	2.68092e-06	1.86434e-05	0	-0.00982655	0.000263405	84.5361	5	9.41709e-17	528.808	600.822	4.34904	353156	40141.7	46.4915	3	4.45843e-10	1	0.279219	0.0546941	10.3268	11	6.40486	2.42179e-06	0.239875	0
102818	4.62153e+17	52.7024	192.599	776.955	449150	6.11433e+06	1473.32	1	2.92123e+17	52.0392	192.955	449156	6.11435e+06	1399.96	1	5	52.452	192.61	-28104.9	15245.3	-6.79789	2.73155e+06	1.07602e+06	78.7486	171.308	25.5212	0.0221685	1	4.19748e+17	0.000219023	0.00349201	0.000223354	1.37204e-05	1.34823e-05	0	-0.00347511	0.00162667	1.43102	3	0.69828	659.207	751.585	59.2712	2.53786e+06	323952	0.293099	1	0.588241	1	0.303588	0.0579522	8.84902	14	6.19247	0.451743	0.689621	0
102819	3.56401e+17	40.4928	343.008	656.662	451416	6.11412e+06	1455.41	1	3.07961e+17	40.683	342.946	451402	6.11412e+06	1399.98	1	12	40.4555	342.097	-25845.8	14970.2	-14.5126	310439	57868.9	72.156	179.636	2.74352	57.0482	8	1.44723e+17	8.34419e-05	0.012088	5.70862e-05	5.01696e-06	1.85831e-05	0	-0.00520212	0.000312739	390.114	10	1.19452e-77	490.211	633.906	2.46743	766892	61462.3	28.3741	8	0.000408097	1	0.606489	0.0763936	29.7383	15	18.9051	0.993058	0.273189	0
102826	4.86512e+17	41.9696	285.358	713.428	451166	6.1141e+06	1456.95	1	3.59969e+17	41.6901	284.467	451181	6.11415e+06	1399.97	1	15	42.9148	284.13	-26085.4	14954.1	-13.9088	452725	91219.6	84.4665	173.843	2.00354	72.8826	11	1.66652e+17	0.000121944	0.0158329	0.000101408	4.62163e-06	1.7622e-05	0	-0.0107303	0.000207113	234.894	13	8.6904e-43	510.193	639.608	1.53314	1.63934e+06	153991	28.9061	11	0.00234733	1	0.466697	0.0652945	15.3786	18	9.55919	1.2794	0.367822	0
102835	2.87138e+17	42.9293	220.356	722.679	450320	6.11457e+06	1468.3	1	1.68818e+17	43.7427	220.16	450310	6.11463e+06	1399.99	1	3	42.646	220.419	-26969.2	15377	93.2951	714910	430351	86.4063	123.631	26.2479	0.0342435	1	2.09639e+17	0.000154856	0.00849178	0.000155857	1.45635e-05	1.77293e-05	0	-0.00902812	0.00310978	0.269056	1	0.603965	489.808	677.746	92.9379	721714	144440	0.31933	1	0.57201	1	0.378519	0.0664081	11.9838	14	7.45214	0.101003	0.181097	0
102836	2.98275e+17	28.9503	339.184	661.603	450832	6.1144e+06	1464.7	1	2.13291e+17	29.402	339.071	450841	6.1144e+06	1399.98	1	8	28.4609	337.412	-26387.2	15300.5	-8.22279	728961	124647	67.4285	157.358	3.43466	82.4559	4	2.29774e+17	9.2885e-05	0.0168047	0.00010834	3.14198e-06	2.25642e-05	0	-0.0137397	0.000194785	85.4222	6	2.69893e-16	224.569	752.389	10.2999	703039	60765.2	18.7419	4	0.00088323	1	0.244919	0.039199	12.0863	14	9.10621	1.65215	0	0
102838	2.50034e+17	35.7563	218.512	671.764	450982	6.11456e+06	1464.58	1	1.36069e+17	35.5691	218.433	450992	6.1146e+06	1399.99	1	11	36.6082	218.004	-26245.2	15439	-8.0927	704486	64640.4	80.6807	150.586	3.09183	32.4418	7	2.10828e+17	5.33697e-05	0.0155993	5.83207e-05	7.24717e-07	1.99914e-05	0	-0.0139051	0.00014958	663.206	9	5.59354e-137	321.903	731.537	3.95605	642794	36592.8	33.2013	7	2.4285e-05	1	0.103388	0.00975065	153.832	13	25.5513	1.57061	0	0
102841	2.58531e+17	8.71899	107.561	621.763	451348	6.1142e+06	1456.88	1	2.4791e+17	8.50013	108.659	451399	6.11419e+06	1399.98	1	6	8.29094	111.938	-25909.8	15026.7	-13.4351	201937	42826.3	46.4176	113.818	2.55543	10.4358	2	1.54787e+17	6.35273e-05	0.0169069	7.53466e-05	4.38111e-06	2.62818e-05	0	-0.0142849	0.00043206	30.8953	4	3.21562e-06	313.753	551.119	8.21848	163728	23949.1	22.5075	2	1.29586e-05	1	0.486981	0.0604066	22.3373	19	13.4445	1.33293	0.337636	0
102842	6.84133e+17	50.1485	275.901	692.103	451221	6.11418e+06	1457.12	1	4.90139e+17	50.0454	275.998	451258	6.11425e+06	1399.96	1	29	50.7958	275.295	-26019.1	15090.3	-13.7906	3.94114e+06	279327	75.6227	180.175	1.45013	141.765	25	5.10178e+17	0.000200847	0.0115138	0.000197261	3.55553e-06	1.42453e-05	0	-0.00894867	0.000145768	1039.23	27	1.14002e-201	624.505	709.573	5.00713	3.79499e+06	171603	131.944	25	1.64724e-16	1	0.847214	0.0845062	40.0555	22	22.465	0.842463	0.258931	0
102843	4.91095e+17	36.3483	206.958	676.447	449155	6.11445e+06	1478.28	1	4.08193e+17	36.1855	207.26	449193	6.1145e+06	1399.97	1	4	36.8781	207.407	-28115.3	15313.2	98.433	1.75681e+06	504763	76.6091	118.445	8.34534	0.881869	2	3.39644e+17	0.000229884	0.0165277	0.000234469	1.55017e-05	1.98965e-05	0	-0.0160052	0.00188174	4.46856	2	0.107069	418.593	642.801	19.1819	1.45224e+06	176381	5.97945	2	0.0503013	1	0.778548	0.0794024	26.5279	20	18.9503	1.2302	0.294659	0
102844	2.4639e+18	15.0434	141.965	775.956	450939	6.11432e+06	1461.17	1	1.58054e+18	15.5759	142.68	450955	6.11434e+06	1399.97	1	11	14.9994	144.935	-26295.8	15190.7	-11.1125	8.98083e+06	418363	46.9517	101.9	0.647961	326.541	7	1.04364e+18	0.000426253	0.0202145	0.000554765	6.86146e-06	2.54865e-05	0	-0.0180188	0.000110245	816.175	9	7.00849e-170	156.548	728.666	1.80925	2.66068e+07	945156	78.2043	7	3.19891e-14	1	1.81247	0.1051	47.8382	34	24.9355	1.76188	0	0
102845	8.42719e+17	49.7063	329.039	682.872	449061	6.11419e+06	1475.06	1	6.04327e+17	49.7791	327.908	449127	6.11419e+06	1399.93	1	10	49.8275	328.85	-28179.6	15065.8	-4.9594	7.53368e+06	1.46351e+06	85.331	166.038	8.03145	3.3791	6	6.8988e+17	0.000364914	0.00585029	0.000406165	1.82916e-05	1.46832e-05	0	-0.00461509	0.000432894	30.4367	8	0.000176908	631.417	690.477	25.9136	7.1924e+06	626236	3.24792	6	0.777149	1	1.0549	0.0872504	36.0761	31	25.0986	0.945348	0.225326	0
102847	3.00801e+17	47.8122	132.024	790.93	451035	6.11421e+06	1463.55	1	2.58363e+17	46.3888	131.136	451065	6.11416e+06	1399.98	1	13	47.6865	133.117	-26281.7	15066.8	-8.3792	437932	78845.6	35.2336	185.305	3.99248	14.8143	9	2.90563e+17	0.000139531	0.0133465	0.000119988	4.47389e-06	1.56293e-05	0	-0.00879873	0.000175523	220.276	11	4.52407e-41	630.852	642.115	5.73099	367349	43878.5	152.758	9	2.36506e-28	1	0.297518	0.0724473	8.44426	10	5.59006	1.42013	0.817383	0
102851	4.18756e+17	55.2727	175.648	686.545	451081	6.11397e+06	1473.54	1	3.31792e+17	55.6775	175.964	451142	6.11395e+06	1399.98	1	19	55.764	176.897	-26130.4	14827.1	2.7945	548142	125150	69.9973	236.96	3.58551	57.9636	15	1.96338e+17	8.31232e-05	0.010314	3.42908e-05	2.75012e-06	1.19057e-05	0	-0.00337536	0.000220311	278.413	17	3.14351e-49	856.502	644.148	9.79142	1.26363e+06	217731	52.3053	15	5.02822e-06	1	0.637879	0.109769	13.6112	11	8.03489	0.214323	0.277371	0
